Trial,Min Score,Max Score,Average Score,Std Dev,Reached 1000
1,14.0,1000.0,356.16,226.33,1.0
2,20.0,668.0,236.02,82.52,0.0
3,13.0,331.0,181.52,49.82,0.0
4,12.0,175.0,134.86,38.45,0.0
5,24.0,645.0,285.92,151.43,0.0
6,12.0,400.0,188.32,57.08,0.0
7,80.0,394.0,233.52,58.25,0.0
8,17.0,175.0,133.84,40.93,0.0
9,19.0,531.0,214.48,80.66,0.0
10,57.0,305.0,175.52,47.77,0.0
11,15.0,233.0,164.42,42.88,0.0
12,12.0,275.0,186.68,67.35,0.0
13,43.0,841.0,226.4,148.36,0.0
14,19.0,240.0,140.0,33.25,0.0
15,95.0,396.0,183.48,55.33,0.0
16,37.0,313.0,159.66,55.15,0.0
17,17.0,581.0,225.68,74.13,0.0
18,15.0,437.0,228.42,82.36,0.0
19,12.0,229.0,166.68,42.15,0.0
20,16.0,169.0,130.84,39.22,0.0
21,11.0,196.0,137.9,57.41,0.0
22,20.0,462.0,231.34,104.49,0.0
23,13.0,209.0,148.8,34.29,0.0
24,14.0,387.0,164.16,58.61,0.0
25,84.0,406.0,195.02,52.02,0.0
26,14.0,471.0,239.14,78.09,0.0
27,15.0,416.0,196.78,70.27,0.0
28,39.0,406.0,206.78,67.84,0.0
29,13.0,506.0,166.6,103.71,0.0
30,15.0,352.0,204.06,55.53,0.0
31,36.0,1000.0,458.54,336.74,1.0
32,23.0,429.0,226.66,107.04,0.0
33,31.0,1000.0,346.76,255.8,1.0
34,13.0,271.0,159.98,43.49,0.0
35,23.0,509.0,233.5,87.31,0.0
36,10.0,417.0,237.74,87.31,0.0
37,24.0,314.0,175.82,49.06,0.0
38,12.0,511.0,197.3,69.72,0.0
39,72.0,350.0,207.84,51.21,0.0
40,109.0,296.0,181.7,34.6,0.0
41,14.0,303.0,147.78,63.04,0.0
42,12.0,388.0,210.54,67.61,0.0
43,18.0,251.0,126.94,39.02,0.0
44,16.0,230.0,165.9,39.57,0.0
45,44.0,240.0,168.96,31.34,0.0
46,11.0,265.0,166.0,57.97,0.0
47,78.0,414.0,213.5,57.9,0.0
48,17.0,363.0,161.92,58.04,0.0
49,15.0,225.0,140.96,38.09,0.0
50,14.0,1000.0,226.04,142.07,1.0
Average,27.58,418.5,199.95,77.45,0.08
