Trial,Min Score,Max Score,Average Score,Std Dev,Reached 1000
1,19.0,627.0,258.94,118.22,0.0
2,13.0,240.0,148.1,50.04,0.0
3,22.0,418.0,184.48,51.32,0.0
4,65.0,1000.0,241.08,131.23,1.0
5,15.0,347.0,164.66,71.61,0.0
6,78.0,403.0,184.7,57.77,0.0
7,15.0,1000.0,307.98,274.06,1.0
8,19.0,673.0,259.46,88.44,0.0
9,15.0,204.0,116.72,42.08,0.0
10,13.0,230.0,126.86,38.66,0.0
11,9.0,281.0,136.24,72.52,0.0
12,21.0,1000.0,329.7,281.58,1.0
13,17.0,340.0,172.64,57.79,0.0
14,55.0,664.0,325.16,121.0,0.0
15,15.0,178.0,139.24,45.09,0.0
16,30.0,402.0,254.56,75.91,0.0
17,55.0,617.0,262.12,123.43,0.0
18,24.0,200.0,158.88,33.42,0.0
19,34.0,1000.0,283.74,140.34,1.0
20,44.0,377.0,237.52,55.82,0.0
21,14.0,1000.0,237.34,176.91,1.0
22,39.0,387.0,207.06,66.98,0.0
23,11.0,196.0,112.38,54.61,0.0
24,16.0,173.0,135.26,34.51,0.0
25,12.0,302.0,163.58,81.98,0.0
26,13.0,234.0,142.06,58.7,0.0
27,15.0,395.0,214.82,61.59,0.0
28,43.0,525.0,260.62,88.34,0.0
29,29.0,963.0,297.3,169.76,0.0
30,26.0,993.0,316.5,205.25,0.0
31,16.0,218.0,157.0,37.58,0.0
32,9.0,1000.0,251.96,167.7,1.0
33,38.0,421.0,244.48,68.76,0.0
34,40.0,399.0,232.98,61.56,0.0
35,17.0,197.0,135.18,41.51,0.0
36,82.0,258.0,193.28,28.14,0.0
37,22.0,386.0,179.3,67.75,0.0
38,10.0,523.0,297.92,90.08,0.0
39,14.0,217.0,146.78,41.43,0.0
40,12.0,337.0,169.94,49.76,0.0
41,14.0,514.0,169.38,66.92,0.0
42,52.0,350.0,204.2,52.84,0.0
43,15.0,230.0,160.96,54.92,0.0
44,16.0,299.0,169.22,50.67,0.0
45,13.0,200.0,143.52,51.53,0.0
46,81.0,394.0,241.62,62.88,0.0
47,29.0,481.0,228.38,95.74,0.0
48,23.0,1000.0,310.28,252.69,1.0
49,24.0,499.0,269.78,89.88,0.0
50,71.0,347.0,175.66,42.29,0.0
Average,27.88,472.78,209.23,88.07,0.14
