Trial,Min Score,Max Score,Average Score,Std Dev,Reached 500
1,15.0,224.0,175.08,38.02,0.0
2,42.0,360.0,215.2,57.03,0.0
3,161.0,344.0,255.78,30.84,0.0
4,14.0,274.0,148.48,57.66,0.0
5,14.0,177.0,125.52,37.88,0.0
6,15.0,485.0,165.8,66.77,0.0
7,18.0,183.0,156.44,26.94,0.0
8,17.0,469.0,264.2,87.64,0.0
9,25.0,500.0,246.34,107.94,1.0
10,13.0,226.0,120.22,46.63,0.0
11,71.0,261.0,181.72,36.82,0.0
12,24.0,338.0,185.34,67.62,0.0
13,18.0,290.0,184.1,42.29,0.0
14,84.0,500.0,267.78,85.76,1.0
15,34.0,256.0,161.32,45.59,0.0
16,11.0,500.0,189.18,170.83,1.0
17,34.0,443.0,160.74,55.11,0.0
18,37.0,472.0,245.66,105.36,0.0
19,14.0,500.0,309.04,189.0,1.0
20,25.0,500.0,235.22,105.23,1.0
21,16.0,324.0,208.28,52.55,0.0
22,13.0,285.0,201.98,54.61,0.0
23,70.0,298.0,182.0,46.42,0.0
24,25.0,500.0,180.78,75.72,1.0
25,96.0,457.0,195.5,56.62,0.0
26,79.0,231.0,166.92,28.4,0.0
27,105.0,217.0,151.36,17.29,0.0
28,10.0,401.0,244.38,59.78,0.0
29,70.0,497.0,200.6,79.15,0.0
30,29.0,500.0,279.14,188.52,1.0
31,65.0,387.0,220.22,61.02,0.0
32,12.0,306.0,134.52,61.68,0.0
33,19.0,500.0,196.04,144.56,1.0
34,129.0,467.0,216.12,57.43,0.0
35,20.0,285.0,189.16,54.01,0.0
36,38.0,500.0,261.52,114.93,1.0
37,30.0,435.0,194.78,86.37,0.0
38,14.0,220.0,135.36,46.03,0.0
39,13.0,290.0,118.88,64.8,0.0
40,37.0,447.0,172.92,57.74,0.0
41,22.0,260.0,171.6,37.98,0.0
42,12.0,326.0,161.24,62.06,0.0
43,13.0,212.0,158.12,47.88,0.0
44,14.0,208.0,150.62,45.07,0.0
45,17.0,316.0,213.0,66.09,0.0
46,11.0,500.0,276.66,153.05,1.0
47,21.0,240.0,180.68,47.25,0.0
48,22.0,461.0,189.0,76.06,0.0
49,11.0,158.0,103.5,47.9,0.0
50,10.0,437.0,192.74,78.23,0.0
Average,34.58,359.34,192.82,70.6,0.2
